cycle,p1_wins,p2_wins,draws,mean_game_length,min_game_length,max_game_length,mean_walls_placed,mean_policy_entropy,value_accuracy,loss_total,loss_policy,loss_value,holdout_loss_total,holdout_loss_policy,holdout_loss_value,lr,boardsize,walls_per_player,games_per_cycle,mcts_sims,mcts_sims_fast,fast_play_prob,fast_kl_threshold,temp_threshold,c_puct,dirichlet_alpha,dirichlet_epsilon,dist_bonus_weight_max,fpu_reduction,random_wall_plies,random_wall_fraction,buffer_cycles,batch_size,train_positions_per_cycle,buffer_recency_decay,learning_rate,weight_decay,value_loss_weight,lr_milestones,lr_decay,filters,num_residual,gpool_every,num_workers
2,,,,,,,,,0.9838,0.949965,0.847549,0.102416,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
3,,,,,,,,,0.9725,1.045569,0.931034,0.114535,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
4,,,,,,,,,0.9470,1.185799,1.027036,0.158763,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
5,,,,,,,,,0.9241,1.311940,1.111794,0.200146,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
6,,,,,,,,,0.9053,1.402861,1.167028,0.235833,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
7,,,,,,,,,0.8954,1.494912,1.238850,0.256061,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
8,,,,,,,,,0.8862,1.582829,1.309086,0.273743,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
9,,,,,,,,,0.8805,1.652030,1.364796,0.287234,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
10,,,,,,,,,0.8750,1.716556,1.417842,0.298714,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
11,,,,,,,,,0.8717,1.760778,1.453380,0.307398,,,,1.00e-04,9,10,2048,800,128,0.0,0.7,30,1.0,0.3,0.25,0.5,0.1,1,0.05,40,256,1024000,0.9,0.0001,0.0001,1.0,"[800, 1600]",0.1,128,10,3,8
